,index,timestamp,userID,data_str,movieID,rating
0,83,2023-02-08T02:22:51,684782,GET /rate/big+hero+6+2014=4,big+hero+6+2014,4
1,187,2023-02-08T02:22:51,242281,GET /rate/the+exploding+girl+2009=4,the+exploding+girl+2009,4
2,255,2023-02-08T02:22:51,708816,GET /rate/jodhaa+akbar+2008=4,jodhaa+akbar+2008,4
3,280,2023-02-08T02:22:52,165725,GET /rate/the+sweet+hereafter+1997=5,the+sweet+hereafter+1997,5
4,1201,2023-02-08T02:22:53,327968,GET /rate/guardians+of+the+galaxy+2014=3,guardians+of+the+galaxy+2014,3
5,1579,2023-02-08T02:22:54,792535,GET /rate/bears+2014=4,bears+2014,4
6,1878,2023-02-08T02:22:54,906135,GET /rate/charles+bradley+soul+of+america+2012=3,charles+bradley+soul+of+america+2012,3
7,2000,2023-02-08T02:22:55,293712,GET /rate/moonlight+mile+2002=3,moonlight+mile+2002,3
8,2509,2023-02-08T02:22:55,816186,GET /rate/this+man+must+die+1969=3,this+man+must+die+1969,3
9,2524,2023-02-08T02:22:56,875659,GET /rate/my+neighbor+totoro+1988=4,my+neighbor+totoro+1988,4
10,2533,2023-02-08T02:22:56,901162,GET /rate/bloody+pit+of+horror+1965=3,bloody+pit+of+horror+1965,3
11,2965,2023-02-08T02:22:56,414709,GET /rate/good+will+hunting+1997=4,good+will+hunting+1997,4
12,3069,2023-02-08T02:22:56,525060,GET /rate/titanic+1997=3,titanic+1997,3
13,3459,2023-02-08T02:22:57,924253,GET /rate/when+we+were+kings+1996=5,when+we+were+kings+1996,5
14,3571,2023-02-08T02:22:57,163577,GET /rate/shirin+in+love+2014=4,shirin+in+love+2014,4
15,3582,2023-02-08T02:22:57,267077,GET /rate/airplane+1980=4,airplane+1980,4
16,4177,2023-02-08T02:22:59,922011,GET /rate/queen+to+play+2009=3,queen+to+play+2009,3
17,4199,2023-02-08T02:22:59,405985,GET /rate/whiplash+2014=5,whiplash+2014,5
18,4315,2023-02-08T02:22:59,756508,GET /rate/one+fine+spring+day+2001=3,one+fine+spring+day+2001,3
19,4323,2023-02-08T02:22:59,939632,GET /rate/stand+by+me+1986=4,stand+by+me+1986,4
20,4376,2023-02-08T02:22:59,203715,GET /rate/unfaithful+2002=3,unfaithful+2002,3
21,4588,2023-02-08T02:22:59,344469,GET /rate/here+on+earth+2000=2,here+on+earth+2000,2
22,4827,2023-02-08T02:23,128776,GET /rate/purple+noon+1960=4,purple+noon+1960,4
23,4985,2023-02-08T02:23,224251,GET /rate/the+jungle+book+1967=4,the+jungle+book+1967,4
24,5004,2023-02-08T02:23,218642,GET /rate/the+match+factory+girl+1990=4,the+match+factory+girl+1990,4
25,5010,2023-02-08T02:23,608328,GET /rate/mr.+pip+2012=3,mr.+pip+2012,3
26,5356,2023-02-08T02:23:01,542162,GET /rate/washington+square+1997=4,washington+square+1997,4
27,5368,2023-02-08T02:23:01,938518,GET /rate/a+nightmare+on+elm+street+1984=4,a+nightmare+on+elm+street+1984,4
28,5553,2023-02-08T02:23:01,880664,GET /rate/sweet+sixteen+2002=4,sweet+sixteen+2002,4
29,5570,2023-02-08T02:23:01,277374,GET /rate/alambrista+1977=3,alambrista+1977,3
30,5583,2023-02-08T02:23:01,63352,GET /rate/dawn+of+the+planet+of+the+apes+2014=4,dawn+of+the+planet+of+the+apes+2014,4
31,5768,2023-02-08T02:23:01,718242,GET /rate/just+a+sigh+2013=4,just+a+sigh+2013,4
32,5864,2023-02-08T02:23:02,371809,GET /rate/wrong+2012=2,wrong+2012,2
33,6075,2023-02-08T02:23:02,900376,GET /rate/the+brothers+grimm+2005=3,the+brothers+grimm+2005,3
34,6230,2023-02-08T02:23:02,511962,GET /rate/the+shock+doctrine+2009=4,the+shock+doctrine+2009,4
35,6257,2023-02-08T02:23:02,850554,GET /rate/oceans+eleven+2001=4,oceans+eleven+2001,4
36,6379,2023-02-08T02:23:03,171447,GET /rate/menace+ii+society+1993=4,menace+ii+society+1993,4
37,6469,2023-02-08T02:23:03,825595,GET /rate/the+sleeping+car+1990=3,the+sleeping+car+1990,3
38,6610,2023-02-08T02:23:03,780775,GET /rate/paris+is+burning+1990=4,paris+is+burning+1990,4
39,6752,2023-02-08T02:23:03,773230,GET /rate/last+year+at+marienbad+1961=4,last+year+at+marienbad+1961,4
40,6862,2023-02-08T02:23:04,295044,GET /rate/kenji+mizoguchi+the+life+of+a+film+director+1975=3,kenji+mizoguchi+the+life+of+a+film+director+1975,3
41,7114,2023-02-08T02:23:04,437585,GET /rate/warlock+1989=3,warlock+1989,3
42,7166,2023-02-08T02:23:04,195386,GET /rate/work+in+progress+2001=5,work+in+progress+2001,5
43,7260,2023-02-08T02:23:04,70657,GET /rate/the+man+who+would+be+king+1975=5,the+man+who+would+be+king+1975,5
44,7405,2023-02-08T02:23:05,290065,GET /rate/electile+dysfunction+inside+the+business+of+american+campaigns+=4,electile+dysfunction+inside+the+business+of+american+campaigns+,4
45,7413,2023-02-08T02:23:05,823430,GET /rate/where+the+buffalo+roam+1980=3,where+the+buffalo+roam+1980,3
46,7918,2023-02-08T02:23:05,138716,GET /rate/the+wave+1981=4,the+wave+1981,4
47,7965,2023-02-08T02:23:06,494805,GET /rate/princess+mononoke+1997=4,princess+mononoke+1997,4
48,8026,2023-02-08T02:23:06,577264,GET /rate/farah+goes+bang+2013=3,farah+goes+bang+2013,3
49,8177,2023-02-08T02:23:06,933453,GET /rate/iron+man+3+2013=4,iron+man+3+2013,4
50,8284,2023-02-08T02:23:06,100606,GET /rate/my+life+without+me+2003=4,my+life+without+me+2003,4
51,8389,2023-02-08T02:23:06,860209,GET /rate/close-up+1990=5,close-up+1990,5
52,8545,2023-02-08T02:23:07,824937,GET /rate/monsters_+inc.+2001=3,monsters_+inc.+2001,3
53,8550,2023-02-08T02:23:07,717793,GET /rate/ushpizin+2004=5,ushpizin+2004,5
54,8562,2023-02-08T02:23:07,121817,GET /rate/there+will+be+blood+2007=3,there+will+be+blood+2007,3
55,8578,2023-02-08T02:23:07,694253,GET /rate/back+to+the+future+1985=4,back+to+the+future+1985,4
56,9847,2023-02-08T02:23:09,793782,GET /rate/leon+the+professional+1994=4,leon+the+professional+1994,4
57,10307,2023-02-08T02:23:10,342884,GET /rate/raiders+of+the+lost+ark+1981=3,raiders+of+the+lost+ark+1981,3
58,10324,2023-02-08T02:23:10,900567,GET /rate/the+big+boss+1971=4,the+big+boss+1971,4
